Disease_ID,Treatment_System,Recommendation,Evidence_Level
D028,Nutrition Therapy,Highly Recommended,Strong
D028,Acupuncture,Not routinely recommended,Limited
D029,Yoga,Recommended,Moderate
D029,Ayurveda,Supportive,Limited
D029,Nutrition Therapy,Highly Recommended,Strong
D029,Acupuncture,Not routinely recommended,Limited
D030,Yoga,Recommended,Moderate
D030,Ayurveda,Supportive,Limited
D030,Nutrition Therapy,Highly Recommended,Strong
D030,Acupuncture,Not routinely recommended,Limited
D031,Yoga,Recommended,Moderate
D031,Ayurveda,Supportive,Limited
D031,Nutrition Therapy,Highly Recommended,Strong
D031,Acupuncture,Not routinely recommended,Limited
D032,Yoga,Recommended,Moderate
D032,Ayurveda,Supportive,Limited
D032,Nutrition Therapy,Highly Recommended,Strong
D032,Acupuncture,Not routinely recommended,Limited
D033,Yoga,Recommended,Moderate
D033,Ayurveda,Supportive,Limited
D033,Nutrition Therapy,Highly Recommended,Strong
D033,Acupuncture,Not routinely recommended,Limited
D034,Yoga,Recommended,Moderate
D034,Ayurveda,Supportive,Limited
D034,Nutrition Therapy,Highly Recommended,Strong
D034,Acupuncture,Not routinely recommended,Limited
D035,Yoga,Recommended,Moderate
D035,Ayurveda,Supportive,Limited
D035,Nutrition Therapy,Highly Recommended,Strong
D035,Acupuncture,Not routinely recommended,Limited
D036,Yoga,Recommended,Moderate
D036,Ayurveda,Supportive,Limited
D036,Nutrition Therapy,Highly Recommended,Strong
D036,Acupuncture,Not routinely recommended,Limited
D037,Yoga,Recommended,Moderate
D037,Ayurveda,Supportive,Limited
D037,Nutrition Therapy,Highly Recommended,Strong
D037,Acupuncture,Not routinely recommended,Limited
D038,Yoga,Recommended,Moderate
D038,Ayurveda,Supportive,Limited
D038,Nutrition Therapy,Highly Recommended,Strong
D038,Acupuncture,Not routinely recommended,Limited
D039,Yoga,Recommended,Moderate
D039,Ayurveda,Supportive,Limited
D039,Nutrition Therapy,Highly Recommended,Strong
D039,Acupuncture,Not routinely recommended,Limited
D040,Yoga,Recommended,Moderate
D040,Ayurveda,Supportive,Limited
D040,Nutrition Therapy,Highly Recommended,Strong
D040,Acupuncture,Not routinely recommended,Limited
D041,Yoga,Recommended,Moderate
D041,Ayurveda,Supportive,Limited
D041,Nutrition Therapy,Highly Recommended,Strong
D041,Acupuncture,Not routinely recommended,Limited
D042,Yoga,Recommended,Moderate
D042,Ayurveda,Supportive,Limited
D042,Nutrition Therapy,Highly Recommended,Strong
D042,Acupuncture,Not routinely recommended,Limited
D043,Yoga,Recommended,Moderate
D043,Ayurveda,Supportive,Limited
D043,Nutrition Therapy,Highly Recommended,Strong
D043,Acupuncture,Not routinely recommended,Limited
D044,Yoga,Recommended,Moderate
D044,Ayurveda,Supportive,Limited
D044,Nutrition Therapy,Highly Recommended,Strong
D044,Acupuncture,Not routinely recommended,Limited
D045,Yoga,Recommended,Moderate
D045,Ayurveda,Supportive,Limited
D045,Nutrition Therapy,Highly Recommended,Strong
D045,Acupuncture,Not routinely recommended,Limited
D046,Yoga,Recommended,Moderate
D046,Ayurveda,Supportive,Limited
D046,Nutrition Therapy,Highly Recommended,Strong
D046,Acupuncture,Not routinely recommended,Limited
D047,Yoga,Recommended,Moderate
D047,Ayurveda,Supportive,Limited
D047,Nutrition Therapy,Highly Recommended,Strong
D047,Acupuncture,Not routinely recommended,Limited
D048,Yoga,Recommended,Moderate
D048,Ayurveda,Supportive,Limited
D048,Nutrition Therapy,Highly Recommended,Strong
D048,Acupuncture,Not routinely recommended,Limited
D049,Yoga,Recommended,Moderate
D049,Ayurveda,Supportive,Limited
D049,Nutrition Therapy,Highly Recommended,Strong
D049,Acupuncture,Not routinely recommended,Limited
D050,Yoga,Recommended,Moderate
D050,Ayurveda,Supportive,Limited
D050,Nutrition Therapy,Highly Recommended,Strong
D050,Acupuncture,Not routinely recommended,Limited
